en,ar
Acehnese,آتشيه
Acholi,أشولية
Afghan,أفغانية
African,إفريقية
Afrikaner,أفريكانية
Akan,أكان
Albanian,ألبانية
Algerian,جزائرية
American,أمريكية
Amhara,أمهرية
Anglo-Burmese,أنجلو بورمية
Anglo-Indian,أنجلو هندية
Angolan,أنجولية
Arab,عربية
Argentinian,أرجنتينية
Armenian,أرمينية
Assyrian,أشورية
Australian,أسترالية
Austrian,نمساوية
Azeri,أذربيجانية
Bahraini,بحرينية
Balinese,بالية
Bangladeshi,بنجلاديشية
Barbadian,باربادوسية
Bari,باري
Basque,باسك
Batswana,بتسوانية
Belarusan,بيلاروسية
Belgian,بلجيكية
Bengali,بنغالية
Berber,بربر
Bermudan,برمودية
Bhutanese,بوتانية
Bolivian,بوليفية
Bosnian,بوسنية
Brazilian,برازيلية
British,بريطانية
Bruneian,برونية
Bulgarian,بلغارية
Burgher,مواطن أسكتلندي متمتع بحكم ذاتي
Burmese,بورمية
Burundian,بوروندية
Cameroonian,كاميرونية
Canadian,كندية
Catalan,كاتالونية
Chaldean,كلدانية
Channel,مواطني جزر القناة
Chilean,تشيلية
Chin,تشين
Chinese,صينية
Colombian,كولومبية
Congolese,كونغولية
Cook,من جزيرة كوك
Coptic,قبطية
Costa,كوستاريكية
Croatian,كرواتية
Cuban,كوبية
Cypriot,قبرصية
Czech,تشيكية
Danish,دنماركية
Darfu/Darfurian,دارفورية
Dinka,دينكا
Dutch,هولندية
Ecuadorian,إكوادورية
Egyptian,مصرية
Emirati,إماراتية
English,إنجليزية
Eritrean,إريترية
Estonian,إستونية
Ethiopian,إثيوبية
Fijian,فيجية
Fijian,فيجية هندية
Filipino,فلبينية
Finnish,فنلندية
Flemish,فلمنكية
French,فرنسية
French,فرنسية كندية
Frisian,فريزية
Fulani,فولانية
Georgian,جورجية
German,ألمانية
Ghanaian,غانية
Gibraltarian,جبل طارق
Gio,جيو
Greek,يونانية
Guatemalan,جواتيمالية
Gujarati,جوغارتية
Guyanese,جويانية
Hawaiian,هاواي
Hazara,هزارية
