en,ar
English,الإنجليزية
Afrikaans,الأفريكان
Albanian,الألبانية
Amharic,الأمهرية
Arabic,العربية
Armenian,الأرمينية
Assyrian/Aramaic,الأشورية/الآرامية
Auslan,لغة الصم والبكم الأسترالية
Australian Indigenous Languages,لغات السكان الأصليين في أستراليا
Bengali,البنغالية
Bosnian,البوسنية
Bulgarian,البلغارية
Burmese,البورمية
Cantonese,الكانتونية
Chin Haka,تشين هاكا
Chinese,الصينية
Croatian,الكرواتية
Czech,التشيكية
Danish,الدنماركية
Dinka,الدينكا
Dutch,الهولندية
Estonian,الإستونية
Fijian,الفيجية
Fijian Hindustani,الفيجية هندوستانية
Filipino/Tagalog,الفلبينية/تغالوغ 
Finnish,الفنلندية
French,الفرنسية
German,الألمانية
Greek,اليونانية
Gujarati,الغوجاراتية
Hakka,هاكا
Hebrew,العبرية
Hindi,الهندية
Hmong,همونج
Hungarian,المجرية
Indo-Aryan,الهندو آرية
Indonesian,الإندونيسية
Italian,الإيطالية
Japanese,اليابانية
Kannada,الكانادا
Karen,الكارين
Khmer,الخمير
Korean,الكورية
Kurdish,الكردية
Lao,اللاوية
Latvian,اللاتفية
Macedonian,المقدونية
Malay,الملايو
Malayalam,المالايالامية
Maltese,المالطية
Mandarin,ماندرين (صينية)
Maori (Cook Island),ماوري (جزيرة كوك)
Maori (New Zealand),ماوري (نيوزلندا)
Marathi,المهاراتية
Min Nan (incl.Hokkien),مين نان (بما في ذلك هوكيان)
Nepali,النيبالية
Non-verbal,غير لفظية
Norwegian,النرويجية
Nuer,النوير
Oromo,الأورومو
Pashto,الباشتو
Persian/Dari,الفارسية/الدرية 
Polish,البولندية
Portuguese,البرتغالية
Punjabi,البنجابية
Romanian,الرومانية
Russian,الروسية
Samoan,ساموا
Serbian,الصربية
"Serbo-Croatian, Yugoslavian","الصربية الكرواتية، اليوغسلافية"
Shona,شونا
Sinhalese,السنهالية
Slovak,السلوفاكية
Slovene,السلوفينية
Somali,الصومالية
Spanish,الإسبانية
Swahili,السواحيلية
Swedish,السويدية
Tamil,التاميلية
Telugu,التيلوجو
Tetum,التيتم
Thai,التايلاندية
Tibetan,التبت
Tigrinya,التيغرينية
Tokelauan,التوكيلاو
Tongan,التونجية
Tswana,التسوانية
Turkish,التركية
Ukrainian,الأوكرانية
Urdu,الأردية
Uygur,الويغورية
Vietnamese,الفيتنامية
Wu,وو
Yiddish,اليديشية
Other language,لغة أخرى
