en,vi
"Australia Talks is a tool developed by the ABC with social scientists to help you understand how your attitudes, behaviours, and experiences compare to other Australians.","Australia Talks là một công cụ được ABC phát triển cùng với các nhà khoa học xã hội nhằm giúp quý vị hiểu thái độ, hành vi, và trải nghiệm của mình là thế nào khi so sánh với những người Úc khác."
Overall,Tổng quát
Women,Phụ nữ
Men,Nam giới
Agree,Đồng ý
Disagree,Không đồng ý
Australian-born,Được sinh ra tại Úc
Arrived in Australia more than 10 years ago,Đến Úc cách đây hơn 10 năm
Arrived in Australia 10 years ago or less,Đến Úc cách đây 10 năm hoặc ít hơn
Climate change,Biến đổi khí hậu
Saving enough money for retirement,Tiết kiệm đủ tiền bạc cho khi nghỉ hưu
Your health or the health of a family member,Sức khỏe của quý vị hay sức khỏe của thành viên trong gia đình
Getting older,Đang trở nên lớn tuổi
Work/life balance,Sự quân bình giữa công việc/cuộc sống
Affording a home,Đủ khả năng tài chính cho căn nhà
Career opportunities,Các cơ hội nghề nghiệp
Not having enough money to get by,Không có đủ tiền để qua ngày
$0 to $599 per week,Từ 0 đô-la đến 599 đô-la mỗi tuần
"$600 to $1,000 per week",Từ 600 đô-la đến 1.000 đô-la mỗi tuần
"$1,000 to $1,499 per week",Từ 1.000 đô-la đến 1.499 đô-la mỗi tuần
"$1,500 to $2,499 per week",Từ 1.500 đô-la đến 2.499 đô-la mỗi tuần
"$2,500 to $2,999 per week",Từ 2.500 đô-la đến 2.999 đô-la mỗi tuần
"$3,000 or more per week",3.000 đô-la hoặc hơn mỗi tuần
ALP voters,Những người bỏ phiếu cho ALP (Đảng Lao động Úc) 
Greens voters,Những người bỏ phiếu cho Greens (Đảng Xanh)
One Nation voters,Những người bỏ phiếu cho One Nation (Đảng Một Quốc gia)
Coalition voters,Những người bỏ phiếu cho Coalition (Liên Đảng)
Other voters,Những người bỏ phiếu cho các đảng phái khác
Non-white,Không phải da trắng
White,Da trắng
Vietnamese,Tiếng Việt
Simplified Chinese,Tiếng Hoa Giản lược
Arabic,Tiếng Ả rập 
Get started,Hãy bắt đầu
"All done, good job!","Xong hết tất cả, tốt!"
Sit tight while we prepare your results. This should only take a moment.,Xin quý vị ngồi chờ trong khi chúng tôi chuẩn bị kết quả của quý vị. Việc này sẽ chỉ mất giây lát mà thôi.
Know yourself. Know your neighbour. Know your country.,Biết về bản thân mình. Biết người hàng xóm của quý vị. Biết về đất nước của quý vị.
Next,Kế tiếp
Back,Trở về trước
Other,Khác
What is your sex?,Quý vị thuộc phái tính nào?
Male,Nam 
Female,Nữ
Other,Phái tính khác
